Tarrlok	" Although the Hundred Year War has long passed, we are not living in a time of peace.  These revolutionaries who call themselves ""Equalists"" are not interested in equality at all. They just want to wage war against benders.  Chief Beifong was supposed to protect Republic City, but she was powerless to stop Amon's attack on the arena. She has failed us all. If we are to survive these dire times, our law enforcement needs new leadership."
Mako	I still can't believe they're shutting this place down.
Bolin	 Yeah. We had some good memories here, didn't we?
Korra	 Guys! Great news. You don't have to go back on the streets. I talked to Tenzin and made all the arrangements. You can come live on Air Temple Island with me!
Mako	Oh, we'd love to, but ...
Bolin	 Asami already invited us to live in her dad's giant mansion!  From here on out, it's gonna be the lap of luxury for us.
Asami	 Oh hey, Korra, I was hoping you would stop by. 
Korra	I was just leaving.  So, I guess I'll see you guys around, some time.
Asami	Why not tomorrow? I'd love to have you come visit the estate.
Korra	I don't know. I have some ... Avatar stuff to do.
Bolin	 Come on, Korra.  We all deserve a little rest and relaxation after all this craziness. We could swim in Asami's pool.  It'll be fun!
Korra	 All right, Pabu.
Asami	 Great, we'll see you tomorrow.
Lin	Looks like our intel was good.
Saikhan	There's enough evidence here to bury Cabbage Corp for an eternity.
Saikhan	[Blankly.] Yeah, yeah. That's what they all say ...
Reporter	Is it true that Cabbage Corp is conspiring with the Equalists?
Lin	The evidence points in that direction, but the investigation is ongoing. For the time being, we have frozen Mr. Gan-Lan's assets and are closing Cabbage Corp.
Tahno	[Tired and sadly.] Hey, Korra. [The shot changes to Korra looking at Tahno sitting on a bench.]
Korra	 Tahno?
Korra	Listen, I know we're not exactly best friends, but I'm sorry Amon took your bending.
Tahno	I've been to the best healers in the city. Whatever Amon did to me, it's permanent.  You gotta get him for me.
Lin	Mr. Sato, if you remember anything else about what you saw during Amon's attack, be sure to let us know.
Tenzin	[To Tahno.] We're ready for you now. [He and Lin walk away.]
Tahno	" See you around ...  ""Ah""vatar. "
Bolin	Earthbending bomb!
Butler	 Avatar Korra ... has arrived.
Mako	Hey, Korra!
Asami	 Glad you made it!
Bolin	 Welcome to paradise! 
Korra	 Looks like you guys settled right in.
Mako	 Pretty much,  except someone forgot to ask her father if we could stay here.
Asami	 Yeah, but I smoothed it over with him. It's easier to ask for forgiveness than permission.
Bolin	 This is the greatest place in the world! Watch this, watch this.  Fetch me my towel, good sir.
